state_fips,bi_class,n,share
36,3-1,35,0.5645161290322581
36,3-2,5,0.08064516129032258
37,1-1,12,0.12
37,1-2,9,0.09
37,1-3,1,0.01
37,2-1,18,0.18
37,2-2,8,0.08
37,2-3,4,0.04
37,3-1,27,0.27
37,3-2,17,0.17
37,3-3,4,0.04
38,1-1,4,0.07547169811320754
38,1-2,10,0.18867924528301888
38,1-3,22,0.41509433962264153
38,2-1,1,0.018867924528301886
38,2-2,7,0.1320754716981132
38,2-3,4,0.07547169811320754
38,3-1,1,0.018867924528301886
38,3-2,1,0.018867924528301886
38,3-3,3,0.05660377358490566
39,1-1,1,0.011363636363636364
39,1-3,6,0.06818181818181818
39,2-1,1,0.011363636363636364
39,2-2,7,0.07954545454545454
39,2-3,13,0.14772727272727273
39,3-1,19,0.2159090909090909
39,3-2,31,0.3522727272727273
39,3-3,10,0.11363636363636363
40,1-2,3,0.03896103896103896
40,1-3,27,0.35064935064935066
40,2-1,1,0.012987012987012988
40,2-2,9,0.11688311688311688
40,2-3,20,0.2597402597402597
40,3-1,4,0.05194805194805195
40,3-2,5,0.06493506493506493
40,3-3,8,0.1038961038961039
41,1-2,3,0.08333333333333333
41,1-3,3,0.08333333333333333
41,2-1,6,0.16666666666666666
41,2-2,7,0.19444444444444445
41,2-3,1,0.027777777777777776
41,3-1,13,0.3611111111111111
41,3-2,3,0.08333333333333333
42,1-1,2,0.029850746268656716
42,1-2,3,0.04477611940298507
42,2-1,1,0.014925373134328358
42,2-2,3,0.04477611940298507
42,2-3,5,0.07462686567164178
42,3-1,19,0.2835820895522388
42,3-2,29,0.43283582089552236
42,3-3,5,0.07462686567164178
44,2-1,2,0.4
44,3-1,3,0.6
45,1-1,2,0.043478260869565216
45,2-1,15,0.32608695652173914
45,2-2,4,0.08695652173913043
45,3-1,13,0.2826086956521739
45,3-2,12,0.2608695652173913
46,1-1,11,0.16666666666666666
46,1-2,20,0.30303030303030304
46,1-3,21,0.3181818181818182
46,2-1,2,0.030303030303030304
46,2-2,7,0.10606060606060606
46,3-1,3,0.045454545454545456
46,3-2,2,0.030303030303030304
47,1-3,21,0.22105263157894736
47,2-1,2,0.021052631578947368
47,2-2,6,0.06315789473684211
47,2-3,34,0.35789473684210527
47,3-1,7,0.07368421052631578
47,3-2,10,0.10526315789473684
47,3-3,15,0.15789473684210525
48,1-1,11,0.044
48,1-2,12,0.048
48,1-3,79,0.316
48,2-1,6,0.024
48,2-2,9,0.036
48,2-3,59,0.236
48,3-1,22,0.088
48,3-2,25,0.1
48,3-3,27,0.108
49,1-1,1,0.034482758620689655
49,1-2,3,0.10344827586206896
49,1-3,6,0.20689655172413793
49,2-1,2,0.06896551724137931
49,2-2,2,0.06896551724137931
49,2-3,6,0.20689655172413793
49,3-1,3,0.10344827586206896
49,3-2,3,0.10344827586206896
49,3-3,3,0.10344827586206896
50,1-1,2,0.14285714285714285
50,2-1,9,0.6428571428571429
50,3-1,3,0.21428571428571427
51,1-1,27,0.20300751879699247
51,1-2,16,0.12030075187969924
51,1-3,7,0.05263157894736842
51,2-1,33,0.24812030075187969
51,2-2,12,0.09022556390977443
51,2-3,9,0.06766917293233082
51,3-1,18,0.13533834586466165
51,3-2,9,0.06766917293233082
51,3-3,2,0.015037593984962405
53,1-1,4,0.10256410256410256
53,1-2,5,0.1282051282051282
53,2-1,10,0.2564102564102564
53,2-2,2,0.05128205128205128
53,3-1,16,0.41025641025641024
