county_fips,county_name,state_name,county_tariff_exposure_mean,county_tariff_exposure_per_worker,tariffed_emp_share,gop_share_20,swingness_20,gop_share_24
09110,"Capitol Planning Region, Connecticut",Connecticut,1682925080.9932334,3552.1460117169754,0.13225631467969107,NA,NA,0.38172088355107203
17043,"DuPage County, Illinois",Illinois,1655089134.9987276,2778.435690649561,0.11706069086153727,0.399145267428628,0.819382596935662,0.42530578659431606
21111,"Jefferson County, Kentucky",Kentucky,1595111929.9701693,3392.7507215101664,0.12931322356764713,0.389639680417144,0.799001109590848,0.40879332822411196
36103,"Suffolk County, New York",New York,1528555941.1101086,2579.4929648488114,0.09737756927334706,0.49414483481759197,0.9996993030830508,0.549868902932861
48029,"Bexar County, Texas",Texas,1449830183.8926582,1764.8378580060087,0.07056526465321743,0.4013488488228131,0.818149897522862,0.44557631407688203
41067,"Washington County, Oregon",Oregon,1446597199.498631,4706.661762931082,0.1821467963338333,0.30928803781148,0.65389322128082,0.313271510788441
06029,"Kern County, California",California,1438541223.8076642,6568.201518645506,0.12497260474120613,0.53889249277584506,0.8980493142786,0.5926968077219099
55079,"Milwaukee County, Wisconsin",Wisconsin,1410360912.193795,3239.230390890664,0.13477491961414792,0.292735270855893,0.601471552668905,0.2982544093559161
39061,"Hamilton County, Ohio",Ohio,1410310590.081701,2664.9306043935235,0.11207816919905293,0.412796539569163,0.8413195677246139,0.420655858529407
36029,"Erie County, New York",New York,1381562531.7386715,3303.5770554389305,0.1244542111228545,0.41758611139886015,0.8527612938960429,0.451616033522633
29189,"St. Louis County, Missouri",Missouri,1379722797.2305064,2193.392424647407,0.09885602731799134,0.37187899620837905,0.760165981291686,0.3742007659906521
20173,"Sedgwick County, Kansas",Kansas,1320616162.045721,5568.155574393886,0.20063835259494125,0.550933730426313,0.874349104667716,0.5609006686839251
40109,"Oklahoma County, Oklahoma",Oklahoma,1313486600.5296662,3219.716584907663,0.08667217386401799,0.49212865576440307,0.9887154780484495,0.49708053702889704
42091,"Montgomery County, Pennsylvania",Pennsylvania,1304343425.7038574,2332.533540482867,0.10383479137905136,0.3635351470233669,0.737235792118897,0.38070400417733696
18097,"Marion County, Indiana",Indiana,1300487705.3267272,2389.9565840236687,0.10486504565861798,0.34437488931494614,0.708440810124763,0.35329203489528593
40143,"Tulsa County, Oklahoma",Oklahoma,1275392468.6312008,3876.148715129046,0.13310397646458139,0.5646285032886101,0.8440891262121359,0.565274247973254
25009,"Essex County, Massachusetts",Massachusetts,1274327777.3053906,4425.363860624359,0.16419988887345463,0.34385935756510994,0.7095011989269009,0.388613000632945
42071,"Lancaster County, Pennsylvania",Pennsylvania,1262609065.0314891,5063.012783881118,0.1701346143821252,0.5693789426921371,0.842338516215016,0.5747864355918781
12086,"Miami-Dade County, Florida",Florida,1210696925.7908347,1147.1016123994114,0.05984518305161828,0.4606030691138441,0.926495657044854,0.553508705384277
26139,"Ottawa County, Michigan",Michigan,1193705885.2942247,10145.297807210756,0.3450591104954063,0.5981341094047289,0.7853870181906549,0.5949092498963019
55133,"Waukesha County, Wisconsin",Wisconsin,1184090379.297889,4808.840359083665,0.17673576139575684,0.5957141151360469,0.7920006268750279,0.59221743164329
48453,"Travis County, Texas",Texas,1158523291.405947,1572.7813048540702,0.13549812111733786,0.2643356505867949,0.5502196284420879,0.29431572417002005
45083,"Spartanburg County, South Carolina",South Carolina,1155601778.0547667,7686.9979648695335,0.2641287284144427,0.6293767448118128,0.7266556792573409,0.6621721498486467
36055,"Monroe County, New York",New York,1138251210.5068963,3250.242602209838,0.12270527262603333,0.38232939527485515,0.78979377032571,0.404605527631225
12095,"Orange County, Florida",Florida,1092817108.275882,1297.8393928419032,0.06782553549288148,0.37904983449257995,0.768898197876748,0.42536697678325314
55025,"Dane County, Wisconsin",Wisconsin,1089943334.2105052,3466.354999317841,0.16764673143893014,0.22854424854477104,0.47392768372724303,0.234223221138033
