county_fips,county_name,exposure_2017,exposure_2023,exposure_change_abs,exposure_change_pct
02020,"Anchorage Municipality, Alaska",156095674.51945078,355904332.4924657,199808657.9730149,1.2800396845597224
23023,"Sagadahoc County, Maine",1875338.5427129208,200669643.51544085,198794304.97272792,106.00448956013358
48423,"Smith County, Texas",221469292.0555057,417840294.438943,196371002.38343734,0.8866737260090302
41047,"Marion County, Oregon",408771726.3122731,605017257.6019975,196245531.2897244,0.4800858735024313
01073,"Jefferson County, Alabama",626783744.8904219,822763647.0725489,195979902.182127,0.31267547025551756
22101,"St. Mary Parish, Louisiana",120748439.41338024,315994535.7349925,195246096.32161227,1.6169657949217096
45045,"Greenville County, South Carolina",777539231.6774504,972512886.3443557,194973654.66690528,0.2507573209473589
36055,"Monroe County, New York",945280437.3282188,1138251210.5068963,192970773.17867744,0.20414129559699587
55139,"Winnebago County, Wisconsin",556291049.6971626,747665341.6453145,191374291.94815183,0.34401828332908363
01083,"Limestone County, Alabama",97907046.46202475,288254131.8477866,190347085.38576186,1.9441612454277422
39017,"Butler County, Ohio",498350141.76042485,688118005.2036066,189767863.44318175,0.38079223329369516
42125,"Washington County, Pennsylvania",334266719.27495325,523398692.2563764,189131972.98142314,0.5658115572847425
23005,"Cumberland County, Maine",287434168.07842016,475741171.8090679,188307003.73064774,0.6551308948046576
06111,"Ventura County, California",752860560.3478932,939903785.4189272,187043225.07103395,0.24844338370521385
48491,"Williamson County, Texas",207105973.2862543,393735148.75022525,186629175.46397096,0.9011288882818409
27123,"Ramsey County, Minnesota",614317689.35059,800117686.6844623,185799997.33387232,0.30244936871390754
48121,"Denton County, Texas",413635029.4942652,595390637.8007318,181755608.30646658,0.43941058021292784
13135,"Gwinnett County, Georgia",604724574.1212195,785274754.3297813,180550180.20856178,0.29856597190702183
55009,"Brown County, Wisconsin",687468046.8400822,867888813.8842255,180420767.04414332,0.26244240423018894
26139,"Ottawa County, Michigan",1014313169.1857803,1193705885.2942247,179392716.10844445,0.17686127081683103
42077,"Lehigh County, Pennsylvania",514624296.7158697,693900421.0446656,179276124.32879585,0.3483631174681524
47001,"Anderson County, Tennessee",283440315.8024609,461855497.52293044,178415181.72046953,0.6294629654759949
08069,"Larimer County, Colorado",282514521.3845278,460308487.0708026,177793965.68627483,0.629326821201807
