county_fips,county_name,state_name,political_salience_index,county_exposure_mean,swingness_24,gop_share_24,margin_24,dominant_naics2c
37127,"Nash County, North Carolina",North Carolina,0.7878561155349664,85674684597.8113,0.9823733862959285,0.5047551753112826,0.01762661370407148,31-33
37093,"Hoke County, North Carolina",North Carolina,0.7854247449988963,92807874542.25145,0.9406354515050167,0.4641348354163,-0.05936454849498329,31-33
37069,"Franklin County, North Carolina",North Carolina,0.7843771159496945,115113664127.06458,0.8642947843672106,0.5629026948219913,0.13570521563278937,31-33
18157,"Tippecanoe County, Indiana",Indiana,0.7836936000192356,81835006874.59373,0.9985021195009063,0.4910501640179146,0.00149788049909377,31-33
37187,"Washington County, North Carolina",North Carolina,0.7815139367295189,92635272054.35405,0.9376999494864455,0.466071729247348,-0.06230005051355453,31-33
55121,"Trempealeau County, Wisconsin",Wisconsin,0.7811107326735497,193714541105.96423,0.7857587451761483,0.6013320054774057,0.21424125482385165,31-33
13163,"Jefferson County, Georgia",Georgia,0.7808345997164259,82804027900.70523,0.9878065121264906,0.5044888114699183,0.01219348787350937,31-33
22013,"Bienville Parish, Louisiana",Louisiana,0.7804957054428246,138456115395.09644,0.8195332480818414,0.5850383631713555,0.1804667519181586,31-33
19139,"Muscatine County, Iowa",Iowa,0.7797416201051086,119121037710.59521,0.8507235338918508,0.5662350850469662,0.1492764661081492,31-33
19127,"Marshall County, Iowa",Iowa,0.7796201313090084,122110635924.50133,0.8442818144856827,0.5700760875878492,0.15571818551431726,31-33
05103,"Ouachita County, Arkansas",Arkansas,0.7794257940097691,145323702014.82404,0.8094134013447716,0.5861349408764202,0.1905865986552284,31-33
37017,"Bladen County, North Carolina",North Carolina,0.7791816345397111,163008441842.0776,0.796034163531028,0.5993549543092636,0.2039658364689721,31-33
45033,"Dillon County, South Carolina",South Carolina,0.7783996086675642,103190596498.07202,0.8916617485878089,0.550206559312031,0.10833825141219117,31-33
20111,"Lyon County, Kansas",Kansas,0.7726448128284773,114497589563.02805,0.8531231140615569,0.5629149064574532,0.146876885938443,31-33
51001,"Accomack County, Virginia",Virginia,0.7709249982130705,109429009096.98291,0.8667172188520764,0.5634041063929072,0.13328278114792352,31-33
01005,"Barbour County, Alabama",Alabama,0.770426604059026,113772871958.3429,0.8527257933279089,0.5701790073230268,0.14727420667209112,31-33
55021,"Columbia County, Wisconsin",Wisconsin,0.7693233182728331,86710051779.8736,0.9540797290704015,0.516258645926011,0.04592027092959855,31-33
37105,"Lee County, North Carolina",North Carolina,0.768974360527998,125889608317.92476,0.8252407771519978,0.5828306728430033,0.1747592228480021,31-33
