county_fips,Time,naics2c,county_export_usd,emp_share,EMP_num,total_emp,tariff_rate_mean,tariff_rate_median,tariff_rate_p90,n_tariff_lines,matched_emp,matched_tariff,matched_all,exposure_component_mean,exposure_component_p90
06037,2024,99,3827879576,1.3265672552044568e-4,529,3987736,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
06037,2025 through June,11,13500832052,1.4720131924480457e-4,587,3987736,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,514439.46456267295,794936.1155827768
06037,2025 through June,21,1427588348,5.115684689257263e-4,2040,3987736,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,149435.54799952524,200835.0259967059
06037,2025 through June,31-33,228412994840,0.07345421060972943,292916,3987736,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,3866296843.490256,5872263680.14174
06037,2025 through June,91,8827645188,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06037,2025 through June,93,5693141008,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06037,2025 through June,99,2000297120,1.3265672552044568e-4,529,3987736,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
06073,2023,11,3788421436,4.210614052672914e-4,586,1391721,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,412919.8504855827,638063.2214347561
06073,2023,21,2997529028,1.5735912585927784e-4,219,1391721,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,96516.70552463853,129714.35058556998
06073,2023,31-33,123858186600,0.07383807530388634,102762,1391721,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,2107476670.902782,3200907538.2107615
06073,2023,91,986837704,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06073,2023,93,646198008,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06073,2023,99,90568756,8.694271337430419e-5,121,1391721,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
06073,2024,11,4474710916,4.210614052672914e-4,586,1391721,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,487722.12743886624,753651.2265823395
06073,2024,21,2106942800,1.5735912585927784e-4,219,1391721,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,67840.93694683559,91175.3362419623
06073,2024,31-33,133843324368,0.07383807530388634,102762,1391721,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,2277376178.3916984,3458956712.262404
06073,2024,91,918019000,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06073,2024,93,873523956,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06073,2024,99,185679436,8.694271337430419e-5,121,1391721,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
06073,2025 through June,11,1786200980,4.210614052672914e-4,586,1391721,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,194687.37944254448,300840.11789144523
06073,2025 through June,21,1130830068,1.5735912585927784e-4,219,1391721,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,36411.32134236098,48935.26852386363
06073,2025 through June,31-33,61846848368,0.07383807530388634,102762,1391721,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,1052338918.2610704,1598328286.4865482
06073,2025 through June,91,407728792,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06073,2025 through June,93,391775640,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06073,2025 through June,99,82310556,8.694271337430419e-5,121,1391721,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
06075,2023,11,21386969368,9.319765195944686e-5,69,740362,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,515960.2668953687,797286.1310504861
06075,2023,21,812730012,1.3506906081079257e-5,10,740362,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,2246.204717348611,3018.803683873565
06075,2023,31-33,190676041760,0.009500757737431148,7034,740362,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,417457302.8003634,634048407.6829226
06075,2023,91,6063302180,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06075,2023,93,1077281132,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06075,2023,99,724537808,9.184696135133894e-5,68,740362,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
06075,2024,11,25344185424,9.319765195944686e-5,69,740362,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,611428.0359506406,944807.4289366553
06075,2024,21,710585160,1.3506906081079257e-5,10,740362,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,1963.8990992126883,2639.396930150386
06075,2024,31-33,208357020344,0.009500757737431148,7034,740362,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,456167219.17170286,692842350.613475
06075,2024,91,5224768300,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06075,2024,93,1219718656,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06075,2024,99,579546424,9.184696135133894e-5,68,740362,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
06075,2025 through June,11,14581912564,9.319765195944686e-5,69,740362,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,351788.38894413895,543600.0048171029
06075,2025 through June,21,305945020,1.3506906081079257e-5,10,740362,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,845.5638859480374,1136.4019290563265
06075,2025 through June,31-33,106952639372,0.009500757737431148,7034,740362,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,234157159.69084772,355645890.6182743
06075,2025 through June,91,2638017640,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06075,2025 through June,93,700216000,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06075,2025 through June,99,249332680,9.184696135133894e-5,68,740362,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
11001,2023,11,162638460,NA,NA,NA,0.2588582677165354,0.25,0.4,762,FALSE,TRUE,FALSE,NA,NA
11001,2023,21,5677084,NA,NA,NA,0.2046195652173913,0.25,0.275,92,FALSE,TRUE,FALSE,NA,NA
11001,2023,31-33,21639250908,0.0020835831902809077,1164,558653,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,10389885.42902754,15780512.804762885
11001,2023,91,17292972,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
11001,2023,93,164905852,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
11001,2023,99,731193832,3.938043830427833e-5,22,558653,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
11001,2024,11,89626988,NA,NA,NA,0.2588582677165354,0.25,0.4,762,FALSE,TRUE,FALSE,NA,NA
