county_fips,Time,naics2c,county_export_usd
30013,2025 through June,11,2813059364
30013,2025 through June,21,68416372
30013,2025 through June,31-33,36935523884
30013,2025 through June,91,32141484
30013,2025 through June,93,296956392
30013,2025 through June,98,10475220
30013,2025 through June,99,820888864
36005,2023,11,925862176
36005,2023,21,141138465.6
36005,2023,31-33,116545263538.4
36005,2023,91,3490687152
36005,2023,93,9203294936.8
36005,2023,98,34413.6
36005,2023,99,1150623534.4
36005,2024,11,992548247.2
36005,2024,21,112585728
36005,2024,31-33,118033423100.8
36005,2024,91,3760203683.2
36005,2024,93,8422983383.2
36005,2024,98,29328.8
36005,2024,99,1067256660.8
36005,2025 through June,11,449838875.2
36005,2025 through June,21,36158660
36005,2025 through June,31-33,85091145171.2
36005,2025 through June,91,1857074098.4
36005,2025 through June,93,4696469211.2
36005,2025 through June,98,44575.2
36005,2025 through June,99,518672328
36029,2023,11,5050139200
36029,2023,21,6116761416
36029,2023,31-33,183152729808
36029,2023,91,11740451692
36029,2023,93,745248432
36029,2023,98,40616704
36029,2023,99,589326332
36029,2024,11,5349532832
36029,2024,21,4540235536
36029,2024,31-33,177854084124
36029,2024,91,17928067832
36029,2024,93,558305144
36029,2024,98,48556916
36029,2024,99,241981892
36029,2025 through June,11,2541007644
36029,2025 through June,21,1147917380
36029,2025 through June,31-33,82198078104
36029,2025 through June,91,3900047660
36029,2025 through June,93,255243616
36029,2025 through June,98,131504236
36029,2025 through June,99,207061216
36047,2023,11,925862176
36047,2023,21,141138465.6
36047,2023,31-33,116545263538.4
36047,2023,91,3490687152
36047,2023,93,9203294936.8
36047,2023,98,34413.6
36047,2023,99,1150623534.4
36047,2024,11,992548247.2
36047,2024,21,112585728
36047,2024,31-33,118033423100.8
36047,2024,91,3760203683.2
36047,2024,93,8422983383.2
36047,2024,98,29328.8
36047,2024,99,1067256660.8
36047,2025 through June,11,449838875.2
36047,2025 through June,21,36158660
36047,2025 through June,31-33,85091145171.2
36047,2025 through June,91,1857074098.4
36047,2025 through June,93,4696469211.2
36047,2025 through June,98,44575.2
36047,2025 through June,99,518672328
36061,2023,11,925862176
36061,2023,21,141138465.6
36061,2023,31-33,116545263538.4
36061,2023,91,3490687152
36061,2023,93,9203294936.8
36061,2023,98,34413.6
36061,2023,99,1150623534.4
36061,2024,11,992548247.2
36061,2024,21,112585728
36061,2024,31-33,118033423100.8
36061,2024,91,3760203683.2
36061,2024,93,8422983383.2
36061,2024,98,29328.8
36061,2024,99,1067256660.8
36061,2025 through June,11,449838875.2
36061,2025 through June,21,36158660
36061,2025 through June,31-33,85091145171.2
36061,2025 through June,91,1857074098.4
36061,2025 through June,93,4696469211.2
36061,2025 through June,98,44575.2
36061,2025 through June,99,518672328
36081,2023,11,925862176
36081,2023,21,141138465.6
36081,2023,31-33,116545263538.4
36081,2023,91,3490687152
36081,2023,93,9203294936.8
36081,2023,98,34413.6
36081,2023,99,1150623534.4
36081,2024,11,992548247.2
36081,2024,21,112585728
36081,2024,31-33,118033423100.8
36081,2024,91,3760203683.2
36081,2024,93,8422983383.2
36081,2024,98,29328.8
36081,2024,99,1067256660.8
