county_fips,naics2c,EMP_num,ESTAB,PAYANN,total_emp,emp_share
01023,31-33,987,7,96566,2683,0.36787178531494596
01023,42,40,4,1629,2683,0.014908684308609765
01023,44-45,351,49,8330,2683,0.1308237048080507
01023,48-49,118,19,8706,2683,0.04398061871039881
01023,51,16,4,539,2683,0.005963473723443906
01023,52,71,14,3422,2683,0.026462914647782332
01023,53,5,4,184,2683,0.0018635855385762206
01023,54,47,15,1713,2683,0.017517704062616473
01023,56,15,5,494,2683,0.005590756615728662
01023,62,258,22,11570,2683,0.09616101379053299
01023,71,3,3,141,2683,0.0011181513231457323
01023,72,115,18,2039,2683,0.04286246738725308
01023,81,120,39,2934,2683,0.0447260529258293
01025,11,258,28,15746,6615,0.039002267573696146
01025,21,58,3,3518,6615,0.008767951625094483
01025,23,123,28,6949,6615,0.018594104308390022
01025,31-33,1438,23,129424,6615,0.21738473167044595
01025,42,259,17,13095,6615,0.039153439153439155
01025,44-45,1401,124,43765,6615,0.21179138321995464
01025,48-49,191,31,11361,6615,0.02887377173091459
01025,51,55,15,2310,6615,0.008314436885865457
01025,52,281,64,16179,6615,0.042479213907785335
01025,53,117,19,19704,6615,0.017687074829931974
01025,54,80,27,3953,6615,0.012093726379440665
01025,56,98,17,3749,6615,0.014814814814814815
01025,61,112,5,2481,6615,0.016931216931216932
01025,62,1081,52,47998,6615,0.16341647770219198
01025,71,8,3,168,6615,0.0012093726379440665
01025,72,751,58,12995,6615,0.11352985638699925
01025,81,262,62,7284,6615,0.039606953892668176
01027,11,51,12,2208,3666,0.013911620294599018
01027,23,65,16,3279,3666,0.01773049645390071
01027,31-33,2020,12,94651,3666,0.5510092744135298
01027,44-45,313,39,7369,3666,0.08537915984724495
01027,48-49,36,10,1483,3666,0.009819967266775777
01027,52,100,11,5357,3666,0.027277686852154936
01027,53,8,5,200,3666,0.002182214948172395
01027,54,55,9,1792,3666,0.015002727768685215
01027,56,101,5,1557,3666,0.027550463720676488
01027,62,498,20,20027,3666,0.13584288052373159
01027,72,167,14,2172,3666,0.045553737043098744
01027,81,137,31,2653,3666,0.03737043098745226
01029,11,16,4,1000,2022,0.00791295746785361
01029,23,536,24,39312,2022,0.26508407517309596
01029,31-33,392,14,27253,2022,0.19386745796241345
